Timestamp (ms),F_IMU_GYRO_Z
8215,0.0
8225,-0.125
8236,-0.1875
8246,-0.1875
8255,0.0
8266,0.0
8276,0.0625
8287,-0.0625
8296,-0.0625
8304,-0.125
8316,-0.125
8325,-0.0625
8338,0.125
8346,0.125
8355,0.0625
8366,-0.0625
8376,-0.125
8376,-0.125
8387,-0.0625
8396,-0.0625
8404,-0.0625
8416,0.0625
8426,0.0
8437,-0.0625
8446,-0.0625
8454,-0.0625
8466,-0.0625
8476,0.0
8487,-0.125
8496,-0.125
8503,0.0
8516,-0.125
8526,-0.125
8526,-0.125
8537,0.0
8546,0.0
8554,0.0625
8566,-0.1875
8576,-0.125
8576,-0.125
8589,-0.125
8596,-0.125
8603,-0.0625
8616,0.0
8626,0.0
8637,0.125
8646,0.0625
8653,-0.0625
8666,0.1875
8676,-0.0625
8687,0.0625
8696,-0.0625
8703,-0.0625
8716,-0.125
8726,0.0
8726,0.0
8737,0.0
8746,0.0
8753,0.0
8766,0.0
8776,-0.0625
8787,0.0
8796,0.0
8803,-0.0625
8816,-0.0625
8826,-0.1875
8839,-0.0625
8847,-0.0625
8853,0.0
8866,0.0
8876,0.125
8888,0.0625
8896,0.0625
8903,0.0625
8916,0.0
8926,0.125
8938,0.0
8946,0.0625
8953,-0.0625
8966,-0.0625
8976,0.25
8976,0.25
8988,0.125
8996,0.0
9003,-0.1875
9016,0.0
9026,-0.25
9038,-0.0625
9045,-0.125
9053,-0.0625
9065,0.1875
9075,0.0625
9088,0.1875
9095,-0.1875
9103,-0.125
9115,0.0625
9125,-0.0625
9139,0.125
9146,0.125
9153,-0.0625
9165,0.0625
9175,-0.0625
9188,-0.125
9195,0.125
9203,-0.0625
9215,0.0625
9225,0.0
9237,0.0
9245,0.0
9253,-0.0625
9265,0.0
9274,-0.0625
9288,-0.0625
9294,0.0
9303,0.125
9314,0.0625
9324,0.0
9324,0.0
9346,-0.125
9353,-0.125
9364,-0.0625
9374,0.125
9389,0.0
9394,-0.0625
9403,-0.125
9414,-0.0625
9424,-0.0625
9434,-0.0625
9444,0.0625
9453,-0.0625
9464,0.0625
9474,0.0
9485,0.0
9494,-0.125
9503,-0.0625
9514,0.0
9523,0.0625
9539,0.0625
9544,0.0625
9553,0.0625
9563,0.0625
9573,0.0
9583,0.0
9593,0.0625
9603,0.0625
9613,0.0
9623,0.0625
9623,0.0625
9634,0.0625
9643,0.0625
9653,-0.0625
9663,-0.125
9673,0.0
9673,0.0
9683,0.125
9693,-0.1875
9703,-0.0625
9713,-0.0625
9723,0.0625
9737,0.1875
9743,0.0
9753,-0.0625
9763,-0.0625
9773,-0.0625
9783,-0.0625
9793,0.0625
9803,-0.1875
9813,0.0
9823,-0.0625
9823,-0.0625
9833,0.0
9843,0.0625
9853,-0.0625
9863,-0.0625
9873,-0.1875
9886,-0.0625
9893,0.1875
9903,0.125
9913,-0.125
9923,0.0
9933,-0.1875
9943,-0.0625
9953,0.0625
9963,0.0
9973,0.1875
9983,-0.0625
9993,0.0625
10003,-0.0625
10013,0.0
10023,0.125
10023,0.125
10036,-0.0625
10043,-0.1875
10053,-0.0625
10063,0.0
10073,-0.0625
10083,0.0625
10093,0.0625
10104,-0.25
10113,0.0625
10123,-0.0625
10134,0.0625
10143,-0.0625
10154,0.0625
10163,-0.0625
10173,0.0
10188,0.0625
10193,0.0625
10204,-0.0625
10214,0.0
10224,0.0
10234,-0.0625
10244,0.0625
10254,-0.1875
10264,0.0625
10274,0.0625
10284,0.0
10294,-0.125
10304,0.0
10314,-0.1875
10324,-0.0625
10334,-0.0625
10344,-0.0625
10354,-0.0625
10364,-0.0625
10374,0.0
10388,-0.0625
10394,-0.0625
10404,-0.125
10414,-0.0625
10424,-0.125
10424,-0.125
10434,-0.0625
10444,0.125
10454,0.1875
10464,0.0625
10474,0.1875
10474,0.1875
10484,0.3125
10494,0.1875
10504,-0.1875
10514,-0.0625
10524,-0.0625
10536,-0.125
10544,-0.0625
10554,0.0625
10564,0.0625
10574,-0.0625
10584,-0.0625
10594,-0.0625
10604,-0.0625
10614,0.0625
10624,0.0625
10635,-0.0625
10644,-0.25
10655,-0.3125
10664,-0.1875
10674,0.125
10684,0.0625
10694,0.0
10705,0.0625
10714,-0.0625
10724,-0.3125
10738,-0.0625
10744,-0.0625
10755,0.0
10764,-0.1875
10774,-0.1875
10785,0.0
10795,0.0
10805,0.0625
10814,0.0625
10825,-0.1875
10835,-0.0625
10845,0.125
10855,0.0
10864,0.0
10875,0.1875
10886,-0.0625
10895,-0.125
10905,-0.1875
10914,-0.1875
10925,0.0
10937,-0.0625
10945,-0.125
10955,0.1875
10965,0.125
10975,0.125
10985,-0.125
10995,-0.0625
11005,-0.0625
11014,-0.0625
11025,-0.0625
11036,0.1875
11045,0.125
11055,0.0
11065,0.0
11075,-0.0625
11086,-0.125
11095,-0.1875
11105,0.0625
11114,0.0625
11125,0.1875
11136,0.0
11145,0.0
11155,0.0
11165,0.0
11175,0.0625
11175,0.0625
11187,0.0
11195,0.0
11206,0.0
11214,-0.0625
11225,-0.0625
11225,-0.0625
11236,-0.125
11246,-0.125
11256,-0.125
11264,-0.0625
11275,-0.0625
11286,-0.0625
11296,-0.0625
11306,-0.0625
11314,0.0625
11326,-0.125
11336,-0.0625
11346,-0.0625
11356,0.125
11364,-0.125
11376,0.0625
11387,0.0
11396,0.0
11406,-0.0625
11414,-0.0625
11426,0.0
11426,0.0
11438,0.0
11446,0.0
11456,0.0
11464,-0.125
11476,0.0
11486,0.0
11496,0.125
11506,-0.0625
11513,-0.1875
11526,-0.0625
11526,-0.0625
11536,-0.125
11546,-0.0625
11556,0.0
11564,0.0625
11576,0.125
11576,0.125
11587,0.0
11596,0.0
11606,0.0625
11613,0.0
11626,0.125
11637,0.0
11646,0.0
11656,0.0
11663,-0.0625
11676,-0.0625
11676,-0.0625
11689,0.0
11696,0.0
11706,-0.0625
11713,0.0
11726,-0.0625
11738,0.0
11746,0.0
11756,0.0625
11763,-0.0625
11776,-0.0625
11776,-0.0625
11787,0.0
11796,0.0
11806,-0.0625
11813,0.125
11826,0.125
11826,0.125
11837,0.0
11846,0.0
11856,-0.125
11863,0.0625
11876,-0.0625
11888,-0.0625
11896,-0.0625
11906,-0.0625
11913,0.0
11926,-0.0625
11938,0.0
11946,0.0
11956,0.0
11963,0.125
11976,-0.0625
11976,-0.0625
11990,-0.125
11997,-0.125
12006,-0.0625
12013,0.0
12026,0.0
12038,0.0
12045,-0.125
12056,0.0625
12063,0.0
12075,-0.0625
12075,-0.0625
12088,0.0
12095,-0.25
12105,-0.0625
12113,-0.0625
12125,0.0
12125,0.0
12138,0.125
12145,0.0
12155,0.0625
12163,-0.0625
12175,-0.0625
12175,-0.0625
12188,-0.125
12194,-0.0625
12205,0.0
12213,-0.125
12225,0.0
12239,-0.0625
12245,-0.0625
12255,0.125
12263,0.0625
12275,0.0
12275,0.0
12286,-0.0625
12294,0.0
12305,-0.0625
12313,0.0
12324,-0.0625
12336,0.0625
12344,0.0625
12354,-0.0625
12363,0.0
12374,0.0
12386,-0.0625
12394,-0.0625
12404,0.0625
12413,0.0625
12424,-0.125
