Timestamp (ms),F_IMU_GYRO_Y
11637,0.0625
11646,0.0625
11656,-0.0625
11663,-0.125
11676,-0.125
11676,-0.125
11689,0.0
11696,0.0
11706,0.0
11713,-0.1875
11726,-0.0625
11738,0.0
11746,0.0
11756,-0.25
11763,-0.0625
11776,-0.125
11776,-0.125
11787,-0.1875
11796,-0.1875
11806,-0.0625
11813,-0.25
11826,-0.25
11826,-0.25
11837,-0.125
11846,-0.125
11856,0.0625
11863,0.125
11876,0.0625
11888,0.0625
11896,0.0625
11906,0.25
11913,-0.25
11926,0.0
11938,-0.0625
11946,-0.0625
11956,-0.0625
11963,0.125
11976,-0.25
11976,-0.25
11990,0.0
11997,0.0
12006,0.0
12013,0.125
12026,-0.0625
12038,-0.25
12045,0.0625
12056,0.0625
12063,-0.1875
12075,-0.1875
12075,-0.1875
12088,-0.125
12095,-0.125
12105,-0.0625
12113,0.125
12125,0.0625
12125,0.0625
12138,0.125
12145,-0.0625
12155,-0.1875
12163,-0.3125
12175,-0.0625
12175,-0.0625
12188,0.0625
12194,0.0625
12205,0.125
12213,0.125
12225,-0.0625
12239,0.1875
12245,0.1875
12255,-0.0625
12263,-0.0625
12275,-0.0625
12275,-0.0625
12286,0.0
12294,-0.125
12305,-0.375
12313,0.0
12324,0.125
12336,0.0625
12344,-0.3125
12354,0.0625
12363,-0.0625
12374,-0.0625
12386,0.1875
12394,-0.0625
12404,-0.0625
12413,-0.125
12424,-0.0625
12424,-0.0625
12440,0.1875
12446,0.1875
12454,-0.0625
12463,-0.0625
12474,0.0
12484,-0.0625
12494,-0.125
12503,-0.125
12513,0.0
12523,0.0625
12523,0.0625
12535,-0.125
12543,-0.0625
12553,0.0625
12563,0.0
12573,0.0625
12573,0.0625
12585,0.0625
12593,-0.125
12603,-0.25
12613,-0.0625
12623,-0.5625
12639,-0.3125
12644,0.0
12653,0.0
12663,-0.0625
12673,0.0625
12683,0.125
12693,0.3125
12703,-0.25
12713,-0.25
12723,-0.0625
12733,0.0
12743,0.125
12753,0.0
12763,0.0
12773,-0.25
12789,-0.1875
12793,-0.0625
12803,-0.1875
12813,-0.0625
12823,0.0625
12833,0.0625
12843,-0.1875
12853,-0.3125
12863,-0.1875
12873,-0.125
12883,-0.25
12893,0.0
12903,-0.0625
12913,0.125
12923,0.0625
12939,-0.0625
12943,-0.125
12953,0.0
12963,0.125
12973,0.0625
12973,0.0625
12983,0.1875
12993,0.0
13003,0.1875
13013,-0.25
13023,-0.25
13033,-0.0625
13043,0.0
13053,-0.125
13064,-0.0625
13073,0.0
13088,0.0625
13093,0.0625
13103,-0.125
13114,0.0625
13123,0.0625
13133,0.1875
13143,0.25
13153,0.125
13164,0.0625
13173,0.0625
13183,-0.25
13193,-0.25
13204,0.0625
13214,0.4375
13224,-0.0625
13234,-0.0625
13244,0.0625
13254,-0.25
13264,-0.1875
13274,-0.3125
13288,-0.5625
13294,-0.5625
13304,-0.25
13314,0.0
13324,0.375
13334,0.125
13344,-0.125
13354,0.0
13364,-0.125
13374,-0.3125
13384,-0.0625
13394,-0.125
13404,-0.125
13414,-0.125
13424,-0.25
13424,-0.25
13436,-0.375
13444,-0.3125
13454,-0.1875
13464,-0.0625
13474,-0.125
13484,0.125
13494,0.0625
13504,-0.0625
13514,0.1875
13524,-0.25
13524,-0.25
13535,-0.0625
13544,-0.1875
13554,-0.25
13564,-0.125
13574,0.125
13585,0.0
13594,0.0625
13604,0.0625
13614,0.0625
13624,0.125
13638,-0.0625
13644,0.0625
13654,0.0625
13665,0.0
13674,-0.0625
13685,-0.0625
13694,-0.125
13705,0.0625
13715,-0.25
13724,0.1875
13735,-0.125
13744,0.0
13754,-0.0625
13765,0.0625
13775,-0.1875
13775,-0.1875
13785,0.0625
13795,0.0
13805,0.0
13815,0.25
13824,0.0
13824,0.0
13837,0.0
13845,-0.3125
13855,-0.3125
13865,0.125
13875,-0.0625
13885,0.25
13895,0.0
13905,0.0
13915,-0.1875
13924,-0.1875
13924,-0.1875
13935,-0.3125
13945,-0.1875
13955,0.125
13965,-0.0625
13975,-0.0625
13985,0.0625
13995,-0.0625
14005,0.0625
14015,0.3125
14024,0.3125
14035,0.0
14045,-0.375
14055,-0.0625
14065,-0.125
14075,-0.125
14087,0.1875
14095,-0.125
14105,0.0625
14115,-0.1875
14124,-0.1875
14135,-2.5625
14145,-2.4375
14155,-1.5625
14166,-1.5625
14174,0.875
14186,0.5
14195,0.5
14205,-0.375
14216,-0.5625
14224,0.0625
14236,-1.0
14245,-1.0
14256,-0.0625
14266,0.4375
14275,0.375
14286,0.75
14296,0.75
14306,-0.0625
14316,0.125
14323,-0.4375
14337,-0.25
14346,-0.25
14356,0.0625
14366,0.75
14374,0.4375
14386,0.25
14396,-0.0625
14406,-0.3125
14416,-0.4375
14423,-0.125
14423,-0.125
14436,-0.25
14446,0.25
14456,0.5625
14466,0.5
14474,0.125
14486,-0.1875
14496,-0.25
14506,-0.875
14516,-0.6875
14523,-0.1875
14536,0.25
14546,0.5
14556,0.375
14566,0.0625
14573,-0.1875
14588,-0.25
14596,-0.25
14606,-0.25
14616,0.0625
14623,0.1875
14636,0.375
14646,0.3125
14656,0.0
14666,-0.1875
14673,-0.375
14686,-0.5
14696,-0.375
14706,-5.75
14716,-21.0
14723,-10.3125
14723,-10.3125
14733,-2.9375
14746,0.75
14756,6.1875
14766,8.375
14773,13.5625
14783,10.0
14792,0.0
14800,0.0
14810,0.0
14820,0.0
14830,0.0
14840,0.0
14850,0.0
14860,0.0
14870,0.0
14870,0.0
14880,0.0
14890,0.0
14900,0.0
14910,0.0
14920,0.0
14930,0.0
14946,0.625
14956,2.25
14966,1.5625
14973,0.1875
14986,-0.9375
14996,-1.1875
15005,-2.75
15015,-2.125
15023,0.1875
15035,-0.5625
15045,-0.4375
15055,-0.75
15065,-0.9375
15073,-1.25
15085,-1.0
15095,-0.8125
15105,0.25
15114,1.3125
15123,0.4375
15136,-1.375
15144,-1.1875
15152,0.0
15163,-1.375
15170,0.0
