Timestamp (ms),F_IMU_ABS_Z
13204,-13.5
13214,-13.5
13224,-13.5
13234,-13.5
13244,-13.5
13254,-13.5
13264,-13.5
13274,-13.5
13288,-13.5
13294,-13.5
13304,-13.5
13314,-13.5
13324,-13.5
13334,-13.5
13344,-13.5
13354,-13.5
13364,-13.5
13374,-13.5
13384,-13.5
13394,-13.5
13404,-13.5
13414,-13.5
13424,-13.5
13436,-13.5
13444,-13.5
13454,-13.5
13464,-13.5
13474,-13.5
13484,-13.5
13494,-13.5
13504,-13.5
13514,-13.5
13524,-13.5
13535,-13.5
13544,-13.5
13554,-13.5
13564,-13.5
13574,-13.5
13585,-13.5
13594,-13.5
13604,-13.5
13614,-13.5
13624,-13.5
13638,-13.5
13644,-13.5
13654,-13.5
13665,-13.5
13674,-13.5
13685,-13.5
13694,-13.5
13705,-13.5
13715,-13.5
13724,-13.5
13735,-13.5
13744,-13.5
13754,-13.5
13765,-13.5
13775,-13.5
13785,-13.5
13795,-13.5
13805,-13.5
13815,-13.5
13824,-13.5
13837,-13.5
13845,-13.5
13855,-13.5
13865,-13.5
13875,-13.5
13885,-13.5
13895,-13.5
13905,-13.5
13915,-13.5
13924,-13.5
13935,-13.5
13945,-13.5
13955,-13.5
13965,-13.5
13975,-13.5
13985,-13.5
13995,-13.5
14005,-13.5
14015,-13.5
14024,-13.5
14035,-13.5
14045,-13.5
14055,-13.5
14065,-13.5
14075,-13.5
14087,-13.5
14095,-13.5
14105,-13.5
14115,-13.5
14124,-13.5
14135,-13.5
14145,-13.5
14155,-13.5
14166,-13.4375
14174,-13.4375
14186,-13.4375
14195,-13.4375
14205,-13.4375
14216,-13.4375
14224,-13.4375
14236,-13.4375
14245,-13.4375
14256,-13.4375
14266,-13.4375
14275,-13.4375
14286,-13.4375
14296,-13.4375
14306,-13.4375
14316,-13.4375
14323,-13.4375
14337,-13.4375
14346,-13.4375
14356,-13.4375
14366,-13.4375
14374,-13.4375
14386,-13.4375
14396,-13.4375
14406,-13.4375
14416,-13.4375
14423,-13.4375
14436,-13.4375
14446,-13.4375
14456,-13.4375
14466,-13.4375
14474,-13.4375
14486,-13.4375
14496,-13.4375
14506,-13.4375
14516,-13.4375
14523,-13.4375
14536,-13.4375
14546,-13.4375
14556,-13.4375
14566,-13.4375
14573,-13.4375
14588,-13.4375
14596,-13.4375
14606,-13.4375
14616,-13.4375
14623,-13.4375
14636,-13.4375
14646,-13.4375
14656,-13.4375
14666,-13.4375
14673,-13.4375
14686,-13.4375
14696,-13.4375
14706,-13.4375
14716,-13.1875
14723,-13.0625
14733,-13.0
14746,-13.0625
14756,-13.125
14766,-13.1875
